Week, difference, trend, value
2020-11, , , -2
2020-12, -25, -1.4706, -27
2020-13, -12, -0.7059, -39
2020-14, 5, 0.4167, -34
2020-15, 2, 0.1667, -32
2020-16, , , -32
2020-17, 11, 0.9167, -21
2020-18, -7, -0.4118, -28
2020-19, 10, 0.8333, -18
2020-20, 3, 0.25, -15
2020-21, 1, 0.0833, -14
2020-22, 10, 0.8333, -4
2020-23, -9, -0.5294, -13
2020-24, 2, 0.1667, -11
2020-25, 7, 0.5833, -4
2020-26, , , -4
2020-27, 5, 0.4167, 1
2020-28, -1, -0.0588, 
2020-29, 1, 0.0833, 1
2020-30, -3, -0.1765, -2
2020-31, 1, 0.0833, -1
2020-32, 2, 0.1667, 1
2020-33, 2, 0.1667, 3
2020-34, 1, 0.0833, 4
2020-35, -3, -0.1765, 1
2020-36, 4, 0.3333, 5
2020-37, 1, 0.0833, 6
2020-38, , , 6
2020-39, -2, -0.1176, 4
2020-40, 2, 0.1667, 6
2020-41, -3, -0.1765, 3
2020-42, -2, -0.1176, 1
2020-43, -1, -0.0588, 
2020-44, -1, -0.0588, -1
2020-45, -6, -0.3529, -7
2020-46, -3, -0.1765, -10
2020-47, , , -10
2020-48, 3, 0.25, -7
2020-49, 2, 0.1667, -5
2020-50, -2, -0.1176, -7
2020-51, -6, -0.3529, -13
2020-52, -17, -1, -30
2020-53, -3, -0.1765, -33
2021-01, 12, 1, -21
2021-02, 6, 0.5, -15
2021-03, 2, 0.1667, -13
2021-04, 1, 0.0833, -12
2021-05, -6, -0.3529, -18
2021-06, -1, -0.0588, -19
2021-07, 8, 0.6667, -11
2021-08, 6, 0.5, -5
2021-09, -7, -0.4118, -12
2021-10, -1, -0.0588, -13
2021-11, 2, 0.1667, -11
2021-12, 1, 0.0833, -10
2021-13, -3, -0.1765, -13
2021-14, -8, -0.4706, -21
2021-15, 9, 0.75, -12
2021-16, 6, 0.5, -6
2021-17, -7, -0.4118, -13
2021-18, 4, 0.3333, -9
2021-19, -6, -0.3529, -15
2021-20, 9, 0.75, -6
2021-21, -3, -0.1765, -9
2021-22, 4, 0.3333, -5
2021-23, 8, 0.6667, 3
2021-24, 3, 0.25, 6
2021-25, -9, -0.5294, -3
2021-26, 5, 0.4167, 2
2021-27, 4, 0.3333, 6
2021-28, , , 6
2021-29, -1, -0.0588, 5
2021-30, -3, -0.1765, 2
2021-31, , , 2
2021-32, 2, 0.1667, 4
2021-33, -6, -0.3529, -2
